21Shares Bitcoin ETP (21Shares AG/CH0454664001/USD)		
        24.03.2022
        Time;Price;Volume
17:27:53.51;15.498;120
17:19:58.73;15.55;145
17:19:58.73;15.538;500
16:53:58.42;15.474;200
16:37:03.84;15.47;1300
16:37:03.84;15.46;500
16:34:41.71;15.432;2000
16:34:41.71;15.446;500
16:17:38.35;15.422;1702
15:56:34.29;15.312;342
15:47:17.33;15.4;15
15:47:17.32;15.35;3800
14:53:08.05;15.088;250
13:53:50.16;15.112;290
12:48:57.62;15.124;1306
12:48:17.95;15.132;500
12:47:52.97;14.932;1806
12:47:52.95;15.004;1701
12:47:52.95;15.102;593
12:47:52.95;15.128;4009
10:46:58.98;15.13;1030
10:46:58.96;15.148;500
10:23:34.53;15.198;42
10:18:58.09;15.18;198
10:16:58.34;15.194;200
10:16:58.34;15.176;500
09:23:40.69;15.17;200
09:23:40.69;15.156;500
09:21:02.36;15.15;500
09:11:47.97;15.19;388
09:11:47.97;15.19;5103
09:11:47.95;15.184;4009
09:11:47.95;15.172;500
09:00:56.00;15.194;200
